SampleID,start.T2,end.T2,start.T3,end.T3,ID.plate
4222v1xB,5/28/18,6/1/18,6/5/18,6/8/18,4222v1xB lo5a
13s10xC,5/28/18,6/4/18,6/5/18,6/8/18,13s10xC lo5a
13s1xA,5/28/18,6/4/18,6/6/18,6/8/18,13s1xA lo5a
1322v102xB,5/28/18,6/4/18,6/5/18,6/8/18,1322v102xB lo5a
4228v102xB,5/29/18,6/1/18,6/5/18,6/8/18,4228v102xB lo5a
13s103xCb,5/29/18,5/30/18,6/5/18,6/8/18,13s103xCb lo5a
42s1xB,5/30/18,6/4/18,6/5/18,6/8/18,42s1xB lo5a
1322v1xB,5/28/18,6/4/18,6/5/18,6/8/18,1322v1xB lo5a
13s103xB,5/30/18,6/4/18,6/5/18,6/8/18,13s103xB lo5a
4228v10xB,5/28/18,6/4/18,6/6/18,6/8/18,4228v10xB lo5a
1322v103xB,5/31/18,6/4/18,6/5/18,6/8/18,1322v103xB lo5b
1313v102xB,5/28/18,6/4/18,6/5/18,6/8/18,1313v102xB lo5b
4242v1xB,5/29/18,5/30/18,6/6/18,6/8/18,4242v1xB lo5b
4222v103xC,5/28/18,6/4/18,6/6/18,6/8/18,4222v103xC lo5b
1313v102xA,5/28/18,6/4/18,6/5/18,6/8/18,1313v102xA lo5b
4222v102xC,5/30/18,6/4/18,6/5/18,6/8/18,4222v102xC lo5b
4222v10xC,5/31/18,6/4/18,6/5/18,6/8/18,4222v10xC lo5b
4242v1xA,5/29/18,6/4/18,6/6/18,6/8/18,4242v1xA lo5b
1328v103xC,5/28/18,6/4/18,6/5/18,6/8/18,1328v103xC lo5b
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo5b
1322v103xA,5/29/18,6/4/18,6/6/18,6/8/18,1322v103xA lo5b
4242v103xB,5/29/18,5/31/18,6/5/18,6/8/18,4242v103xB lo5b
1322v1xC,5/31/18,6/4/18,6/5/18,6/8/18,1322v1xC lo5b
13s103xC,5/31/18,6/4/18,6/5/18,6/8/18,13s103xC lo5b
4222v1xB,5/30/18,6/4/18,6/5/18,6/8/18,4222v1xB lo5b
13s10xC,5/28/18,5/31/18,6/5/18,6/8/18,13s10xC lo5b
13s1xA,5/29/18,6/4/18,6/5/18,6/8/18,13s1xA lo5b
1322v102xB,5/29/18,6/4/18,6/5/18,6/8/18,1322v102xB lo5b
4228v102xB,5/28/18,5/31/18,6/5/18,6/8/18,4228v102xB lo5b
13s103xCb,5/31/18,6/4/18,6/5/18,6/8/18,13s103xCb lo5b
42s1xB,5/29/18,6/4/18,6/5/18,6/8/18,42s1xB lo5b
1322v1xB,5/31/18,6/4/18,6/5/18,6/8/18,1322v1xB lo5b
13s103xB,5/28/18,6/4/18,6/5/18,6/8/18,13s103xB lo5b
4228v10xB,5/29/18,6/4/18,6/5/18,6/8/18,4228v10xB lo5b
4228v1xB,5/28/18,6/4/18,6/5/18,6/8/18,4228v1xB lo6a
1322v102xA,5/29/18,6/4/18,6/5/18,6/8/18,1322v102xA lo6a
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo6a
42s102xA,5/30/18,6/4/18,6/6/18,6/8/18,42s102xA lo6a
4228v102xA,5/28/18,6/4/18,6/5/18,6/8/18,4228v102xA lo6a
42s10xA,5/28/18,6/4/18,6/6/18,6/8/18,42s10xA lo6a
42s102xB,5/29/18,6/3/18,6/6/18,6/8/18,42s102xB lo6a
4242v1xA,5/28/18,6/4/18,6/6/18,6/8/18,4242v1xA lo6a
42s103xA,5/30/18,6/4/18,6/6/18,6/8/18,42s103xA lo6a
1328v1xA,5/28/18,6/4/18,6/5/18,6/8/18,1328v1xA lo6a
4228v1xA,5/30/18,6/4/18,6/6/18,6/8/18,4228v1xA lo6a
42s10xB,5/30/18,6/4/18,6/5/18,6/8/18,42s10xB lo6a
4228v10xA,5/30/18,6/4/18,6/6/18,6/8/18,4228v10xA lo6a
4222v10xA,5/31/18,6/4/18,6/6/18,6/8/18,4222v10xA lo6a
42s10xC,5/31/18,6/4/18,6/6/18,6/8/18,42s10xC lo6a
4222v103xB,5/29/18,6/3/18,6/6/18,6/8/18,4222v103xB lo6a
13s102xA,5/29/18,6/4/18,6/5/18,6/8/18,13s102xA lo6a
13s10xB,5/28/18,6/4/18,6/5/18,6/8/18,13s10xB lo6a
1328v103xCb,5/28/18,6/1/18,6/6/18,6/8/18,1328v103xCb lo6a
13s102xB,5/29/18,6/4/18,6/6/18,6/8/18,13s102xB lo6a
13s10xA,5/29/18,6/4/18,6/6/18,6/8/18,13s10xA lo6a
1322v1xA,5/29/18,6/4/18,6/6/18,6/8/18,1322v1xA lo6a
13s103xA,5/28/18,6/4/18,6/5/18,6/8/18,13s103xA lo6a
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo6a
4228v1xB,5/28/18,6/4/18,6/5/18,6/8/18,4228v1xB lo6b
1322v102xA,5/31/18,6/4/18,6/5/18,6/8/18,1322v102xA lo6b
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo6b
42s102xA,5/29/18,6/4/18,6/5/18,6/8/18,42s102xA lo6b
4228v102xA,5/31/18,6/4/18,6/5/18,6/8/18,4228v102xA lo6b
42s10xA,5/31/18,6/4/18,6/5/18,6/8/18,42s10xA lo6b
42s102xB,5/28/18,6/4/18,6/5/18,6/8/18,42s102xB lo6b
4242v1xA,5/31/18,6/4/18,6/5/18,6/8/18,4242v1xA lo6b
42s103xA,5/29/18,6/4/18,6/6/18,6/8/18,42s103xA lo6b
1328v1xA,5/28/18,6/4/18,6/5/18,6/8/18,1328v1xA lo6b
4228v1xA,5/28/18,5/30/18,6/6/18,6/8/18,4228v1xA lo6b
42s10xB,5/29/18,6/4/18,6/6/18,6/8/18,42s10xB lo6b
4228v10xA,5/29/18,6/3/18,6/5/18,6/8/18,4228v10xA lo6b
4222v10xA,5/31/18,6/4/18,6/6/18,6/8/18,4222v10xA lo6b
42s10xC,5/28/18,6/4/18,6/6/18,6/8/18,42s10xC lo6b
4222v103xB,5/28/18,6/4/18,6/6/18,6/8/18,4222v103xB lo6b
13s102xA,5/28/18,6/4/18,6/5/18,6/8/18,13s102xA lo6b
13s10xB,5/28/18,6/4/18,6/5/18,6/8/18,13s10xB lo6b
1328v103xCb,5/28/18,6/4/18,6/5/18,6/8/18,1328v103xCb lo6b
13s102xB,5/28/18,6/4/18,6/5/18,6/8/18,13s102xB lo6b
13s10xA,5/28/18,6/4/18,6/5/18,6/8/18,13s10xA lo6b
1322v1xA,5/28/18,6/4/18,6/5/18,6/8/18,1322v1xA lo6b
13s103xA,5/30/18,6/4/18,6/5/18,6/8/18,13s103xA lo6b
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo6b
